query_id,query_source_doc_index,query_source_title,query_text,system,rank,result_doc_index,result_title,result_abstract,score,latency_ms,label
0,,,graph neural networks to molecular property prediction for drug discovery.,hybrid_clustered_faiss,1,38866,Gated Graph Recursive Neural Networks for Molecular Property Prediction,"Molecule property prediction is a fundamental problem for computer-aided drug
discovery and materials science. Quantum-chemical simulations such as density
functional theory (DFT) have been widely used for calculating the molecule
properties, however, because of the heavy computational cost, it is difficult
to search a huge number of potential chemical compounds. Machine learning
methods for molecular modeling are attractive alternatives, however, the
development of expressive, accurate, and scalable graph neural networks for
learning molecular representations is still challenging. In this work, we
propose a simple and powerful graph neural networks for molecular property
prediction. We model a molecular as a directed complete graph in which each
atom has a spatial position, and introduce a recursive neural network with
simple gating function. We also feed input embeddings for every layers as skip
connections to accelerate the training. Experimental results show that our
model achieves the state-of-the-art performance on the standard benchmark
dataset for molecular property prediction.",0.7092,184.471131,1
0,,,graph neural networks to molecular property prediction for drug discovery.,hybrid_clustered_faiss,2,18935,Learn molecular representations from large-scale unlabeled molecules for drug discovery,"How to produce expressive molecular representations is a fundamental
challenge in AI-driven drug discovery. Graph neural network (GNN) has emerged
as a powerful technique for modeling molecular data. However, previous
supervised approaches usually suffer from the scarcity of labeled data and have
poor generalization capability. Here, we proposed a novel Molecular
Pre-training Graph-based deep learning framework, named MPG, that leans
molecular representations from large-scale unlabeled molecules. In MPG, we
proposed a powerful MolGNet model and an effective self-supervised strategy for
pre-training the model at both the node and graph-level. After pre-training on
11 million unlabeled molecules, we revealed that MolGNet can capture valuable
chemistry insights to produce interpretable representation. The pre-trained
MolGNet can be fine-tuned with just one additional output layer to create
state-of-the-art models for a wide range of drug discovery tasks, including
molecular properties prediction, drug-drug interaction, and drug-target
interaction, involving 13 benchmark datasets. Our work demonstrates that MPG is
promising to become a novel approach in the drug discovery pipeline.",0.6828,184.471131,1
0,,,graph neural networks to molecular property prediction for drug discovery.,hybrid_clustered_faiss,3,2215,MolCLR: Molecular Contrastive Learning of Representations via Graph Neural Networks,"Molecular machine learning bears promise for efficient molecule property
prediction and drug discovery. However, due to the limited labeled data and the
giant chemical space, machine learning models trained via supervised learning
perform poorly in generalization. This greatly limits the applications of
machine learning methods for molecular design and discovery. In this work, we
present MolCLR: Molecular Contrastive Learning of Representations via Graph
Neural Networks (GNNs), a self-supervised learning framework for large
unlabeled molecule datasets. Specifically, we first build a molecular graph,
where each node represents an atom and each edge represents a chemical bond. A
GNN is then used to encode the molecule graph. We propose three novel molecule
graph augmentations: atom masking, bond deletion, and subgraph removal. A
contrastive estimator is utilized to maximize the agreement of different graph
augmentations from the same molecule. Experiments show that molecule
representations learned by MolCLR can be transferred to multiple downstream
molecular property prediction tasks. Our method thus achieves state-of-the-art
performance on many challenging datasets. We also prove the efficiency of our
proposed molecule graph augmentations on supervised molecular classification
tasks.",0.6717,184.471131,1
0,,,graph neural networks to molecular property prediction for drug discovery.,hybrid_clustered_faiss,4,38936,Learning Graph-Level Representation for Drug Discovery,"Predicating macroscopic influences of drugs on human body, like efficacy and
toxicity, is a central problem of small-molecule based drug discovery.
Molecules can be represented as an undirected graph, and we can utilize graph
convolution networks to predication molecular properties. However, graph
convolutional networks and other graph neural networks all focus on learning
node-level representation rather than graph-level representation. Previous
works simply sum all feature vectors for all nodes in the graph to obtain the
graph feature vector for drug predication. In this paper, we introduce a dummy
super node that is connected with all nodes in the graph by a directed edge as
the representation of the graph and modify the graph operation to help the
dummy super node learn graph-level feature. Thus, we can handle graph-level
classification and regression in the same way as node-level classification and
regression. In addition, we apply focal loss to address class imbalance in drug
datasets. The experiments on MoleculeNet show that our method can effectively
improve the performance of molecular properties predication.",0.6634,184.471131,1
0,,,graph neural networks to molecular property prediction for drug discovery.,hybrid_clustered_faiss,5,2869,Towards Interpretable Sparse Graph Representation Learning with Laplacian Pooling,"Recent work in graph neural networks (GNNs) has led to improvements in
molecular activity and property prediction tasks. Unfortunately, GNNs often
fail to capture the relative importance of interactions between molecular
substructures, in part due to the absence of efficient intermediate pooling
steps. To address these issues, we propose LaPool (Laplacian Pooling), a novel,
data-driven, and interpretable hierarchical graph pooling method that takes
into account both node features and graph structure to improve molecular
representation. We benchmark LaPool on molecular graph prediction and
understanding tasks and show that it outperforms recent GNNs. Interestingly,
LaPool also remains competitive on non-molecular tasks. Both quantitative and
qualitative assessments are done to demonstrate LaPool's improved
interpretability and highlight its potential benefits in drug design. Finally,
we demonstrate LaPool's utility for the generation of valid and novel molecules
by incorporating it into an adversarial autoencoder.",0.6584,184.471131,1
0,,,graph neural networks to molecular property prediction for drug discovery.,hybrid_clustered_faiss,6,10519,Artificial Intelligence in Drug Discovery: Applications and Techniques,"Artificial intelligence (AI) has been transforming the practice of drug
discovery in the past decade. Various AI techniques have been used in a wide
range of applications, such as virtual screening and drug design. In this
survey, we first give an overview on drug discovery and discuss related
applications, which can be reduced to two major tasks, i.e., molecular property
prediction and molecule generation. We then discuss common data resources,
molecule representations and benchmark platforms. Furthermore, to summarize the
progress of AI in drug discovery, we present the relevant AI techniques
including model architectures and learning paradigms in the papers surveyed. We
expect that this survey will serve as a guide for researchers who are
interested in working at the interface of artificial intelligence and drug
discovery. We also provide a GitHub repository
(https://github.com/dengjianyuan/Survey_AI_Drug_Discovery) with the collection
of papers and codes, if applicable, as a learning resource, which is regularly
updated.",0.6572,184.471131,0
0,,,graph neural networks to molecular property prediction for drug discovery.,hybrid_clustered_faiss,7,19896,MoFlow: An Invertible Flow Model for Generating Molecular Graphs,"Generating molecular graphs with desired chemical properties driven by deep
graph generative models provides a very promising way to accelerate drug
discovery process. Such graph generative models usually consist of two steps:
learning latent representations and generation of molecular graphs. However, to
generate novel and chemically-valid molecular graphs from latent
representations is very challenging because of the chemical constraints and
combinatorial complexity of molecular graphs. In this paper, we propose MoFlow,
a flow-based graph generative model to learn invertible mappings between
molecular graphs and their latent representations. To generate molecular
graphs, our MoFlow first generates bonds (edges) through a Glow based model,
then generates atoms (nodes) given bonds by a novel graph conditional flow, and
finally assembles them into a chemically valid molecular graph with a posthoc
validity correction. Our MoFlow has merits including exact and tractable
likelihood training, efficient one-pass embedding and generation, chemical
validity guarantees, 100\% reconstruction of training data, and good
generalization ability. We validate our model by four tasks: molecular graph
generation and reconstruction, visualization of the continuous latent space,
property optimization, and constrained property optimization. Our MoFlow
achieves state-of-the-art performance, which implies its potential efficiency
and effectiveness to explore large chemical space for drug discovery.",0.6539,184.471131,1
0,,,graph neural networks to molecular property prediction for drug discovery.,hybrid_clustered_faiss,8,17763,On Graph Neural Network Ensembles for Large-Scale Molecular Property Prediction,"In order to advance large-scale graph machine learning, the Open Graph
Benchmark Large Scale Challenge (OGB-LSC) was proposed at the KDD Cup 2021. The
PCQM4M-LSC dataset defines a molecular HOMO-LUMO property prediction task on
about 3.8M graphs. In this short paper, we show our current work-in-progress
solution which builds an ensemble of three graph neural networks models based
on GIN, Bayesian Neural Networks and DiffPool. Our approach outperforms the
provided baseline by 7.6%. Moreover, using uncertainty in our ensemble's
prediction, we can identify molecules whose HOMO-LUMO gaps are harder to
predict (with Pearson's correlation of 0.5181). We anticipate that this will
facilitate active learning.",0.6468,184.471131,1
0,,,graph neural networks to molecular property prediction for drug discovery.,hybrid_clustered_faiss,9,23970,Path-Augmented Graph Transformer Network,"Much of the recent work on learning molecular representations has been based
on Graph Convolution Networks (GCN). These models rely on local aggregation
operations and can therefore miss higher-order graph properties. To remedy
this, we propose Path-Augmented Graph Transformer Networks (PAGTN) that are
explicitly built on longer-range dependencies in graph-structured data.
Specifically, we use path features in molecular graphs to create global
attention layers. We compare our PAGTN model against the GCN model and show
that our model consistently outperforms GCNs on molecular property prediction
datasets including quantum chemistry (QM7, QM8, QM9), physical chemistry (ESOL,
Lipophilictiy) and biochemistry (BACE, BBBP).",0.6467,184.471131,1
0,,,graph neural networks to molecular property prediction for drug discovery.,hybrid_clustered_faiss,10,38868,Analyzing Learned Molecular Representations for Property Prediction,"Advancements in neural machinery have led to a wide range of algorithmic
solutions for molecular property prediction. Two classes of models in
particular have yielded promising results: neural networks applied to computed
molecular fingerprints or expert-crafted descriptors, and graph convolutional
neural networks that construct a learned molecular representation by operating
on the graph structure of the molecule. However, recent literature has yet to
clearly determine which of these two methods is superior when generalizing to
new chemical space. Furthermore, prior research has rarely examined these new
models in industry research settings in comparison to existing employed models.
In this paper, we benchmark models extensively on 19 public and 16 proprietary
industrial datasets spanning a wide variety of chemical endpoints. In addition,
we introduce a graph convolutional model that consistently matches or
outperforms models using fixed molecular descriptors as well as previous graph
neural architectures on both public and proprietary datasets. Our empirical
findings indicate that while approaches based on these representations have yet
to reach the level of experimental reproducibility, our proposed model
nevertheless offers significant improvements over models currently used in
industrial workflows.",0.6465,184.471131,1
